CODE,PRODUCTO,Tiempo,TIPO_CARROCERIA,Edad_Cliente,COMBUSTIBLE,Revisiones,Potencia,TRANS,Mas_1_coche,FORMA_PAGO,km_anno,ESTADO_CIVIL,COSTE_VENTA,GENERO,QUEJA_CAC,Zona_Renta,OcupaciOn,Averia_grave,Campanna3,PROVINCIA,REV_Garantia,Campanna2,Campanna1,Grupo_Edad_Codificado
CLI3187,1,0,0,53,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,21,0,0,0,4
CLI3188,1,0,0,62,0,0,2.0,1,0,2,0,4,4107,1,0,1.0,1,4.0,1,39,0,0,0,5
CLI3189,1,0,0,31,0,2,2.0,1,0,3,0,0,2662,1,0,1.0,1,4.0,0,32,0,0,0,2
CLI3190,1,0,0,32,0,0,2.0,1,0,2,0,4,3242,2,0,1.0,1,4.0,1,8,0,0,0,2
CLI3191,1,0,0,62,0,1,2.0,1,0,2,0,0,4107,2,0,1.0,1,4.0,1,27,0,0,0,5
CLI3192,1,0,0,22,0,0,2.0,1,0,0,0,0,2662,1,0,1.0,1,4.0,0,8,0,0,0,1
CLI3193,1,0,0,42,0,1,2.0,1,0,2,0,0,4107,1,0,1.0,1,4.0,1,32,0,0,0,3
CLI3194,1,0,0,62,0,1,2.0,1,0,2,0,4,4107,2,0,1.0,1,4.0,1,32,0,0,1,5
CLI3195,1,0,0,36,0,1,2.0,1,0,2,0,0,3242,2,0,1.0,1,4.0,1,4,0,0,1,2
CLI3196,1,0,0,39,0,0,2.0,1,0,3,0,0,2662,1,0,1.0,2,4.0,0,19,0,0,1,2
CLI3197,1,6,0,62,0,0,2.0,1,1,3,0,0,3994,1,0,1.0,1,4.0,1,47,0,0,0,5
CLI3198,1,0,0,42,0,0,2.0,1,0,3,0,0,2662,1,0,1.0,1,4.0,0,20,0,0,0,3
CLI3199,1,7,0,34,0,0,2.0,1,1,2,0,0,5691,2,0,1.0,2,4.0,1,48,0,0,0,2
CLI3200,1,0,0,25,0,0,2.0,1,0,2,0,4,4107,1,0,1.0,1,4.0,1,21,0,0,0,1
CLI3201,1,0,0,49,0,1,2.0,1,0,2,0,4,2329,2,0,3.0,1,4.0,1,35,0,0,0,3
CLI3202,1,0,0,67,0,2,2.0,1,0,0,0,4,1750,2,0,2.0,1,4.0,0,16,0,0,0,5
